"Reference","Value","Footprint","Datasheet","Sim.Device","Sim.Pins","Sim.Type","Qty"
"C1, C3","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","2"
"C2","C_Polarized_US","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","1"
"D1-D8","D_Schottky","Diode_SMD:D_SOD-123","~","","","","8"
"D9","1n914","Diode_THT:D_5W_P12.70mm_Horizontal","~","","","","1"
"I2CA1, I2CA2","Conn_01x04_Socket","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","2"
"J1-J3, J5-J7","AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~","","","","6"
"J10","MIDI_in","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_1","~","","","","1"
"J12","MIDI_out","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_1","~","","","","1"
"Q1, Q2","BSS138","Package_TO_SOT_SMD:SOT-23","~","","","","2"
"Q3, Q4, Q7","2n2222","Package_TO_SOT_THT:TO-92_Inline_Wide","~","NPN","1=C 2=B 3=E","GUMMELPOON","3"
"R1-R4","100R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","4"
"R5, R15, R18, R19, R24","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","5"
"R6-R9","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","4"
"R10-R13","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","4"
"R14, R16","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","2"
"R17","4.7k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","1"
"R21","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","1"
"R22, R23, R27","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","3"
"U1","mini_esp32","ESP32_mini:ESP32_mini","","","","","1"
"U2","~","ih_kicad:USB_HOST_MINI","","","","","1"
"U3","MCP4728","Package_SO:MSOP-10_3x3mm_P0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/22187E.pdf","","","","1"
"U4","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf","","","","1"
"U5","6N138","Package_DIP:DIP-8_W7.62mm","http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf","","","","1"
